Farbwert;Vordergrund_Index;Vordergrund_Name;Vordergrund_Hex;Hintergrund_Index;Hintergrund_Name;Hintergrund_Hex;Beschreibung
67;3;Cyan;#00AAAA;4;Rot;#AA0000;Cyan auf Rot
68;4;Rot;#AA0000;4;Rot;#AA0000;Rot auf Rot
69;5;Magenta;#AA00AA;4;Rot;#AA0000;Magenta auf Rot
70;6;Braun;#AA5500;4;Rot;#AA0000;Braun auf Rot
71;7;Hellgrau;#AAAAAA;4;Rot;#AA0000;Hellgrau auf Rot
72;8;Dunkelgrau;#555555;4;Rot;#AA0000;Dunkelgrau auf Rot
73;9;Hellblau;#5555FF;4;Rot;#AA0000;Hellblau auf Rot
74;10;Hellgruen;#55FF55;4;Rot;#AA0000;Hellgruen auf Rot
75;11;Hellcyan;#55FFFF;4;Rot;#AA0000;Hellcyan auf Rot
76;12;Hellrot;#FF5555;4;Rot;#AA0000;Hellrot auf Rot
77;13;Hellmagenta;#FF55FF;4;Rot;#AA0000;Hellmagenta auf Rot
78;14;Gelb;#FFFF55;4;Rot;#AA0000;Gelb auf Rot
79;15;Weiss;#FFFFFF;4;Rot;#AA0000;Weiss auf Rot
80;0;Schwarz;#000000;5;Magenta;#AA00AA;Schwarz auf Magenta
81;1;Blau;#0000AA;5;Magenta;#AA00AA;Blau auf Magenta
82;2;Gruen;#00AA00;5;Magenta;#AA00AA;Gruen auf Magenta
83;3;Cyan;#00AAAA;5;Magenta;#AA00AA;Cyan auf Magenta
84;4;Rot;#AA0000;5;Magenta;#AA00AA;Rot auf Magenta
85;5;Magenta;#AA00AA;5;Magenta;#AA00AA;Magenta auf Magenta
86;6;Braun;#AA5500;5;Magenta;#AA00AA;Braun auf Magenta
87;7;Hellgrau;#AAAAAA;5;Magenta;#AA00AA;Hellgrau auf Magenta
88;8;Dunkelgrau;#555555;5;Magenta;#AA00AA;Dunkelgrau auf Magenta
89;9;Hellblau;#5555FF;5;Magenta;#AA00AA;Hellblau auf Magenta
90;10;Hellgruen;#55FF55;5;Magenta;#AA00AA;Hellgruen auf Magenta
91;11;Hellcyan;#55FFFF;5;Magenta;#AA00AA;Hellcyan auf Magenta
92;12;Hellrot;#FF5555;5;Magenta;#AA00AA;Hellrot auf Magenta
93;13;Hellmagenta;#FF55FF;5;Magenta;#AA00AA;Hellmagenta auf Magenta
94;14;Gelb;#FFFF55;5;Magenta;#AA00AA;Gelb auf Magenta
95;15;Weiss;#FFFFFF;5;Magenta;#AA00AA;Weiss auf Magenta
96;0;Schwarz;#000000;6;Braun;#AA5500;Schwarz auf Braun
97;1;Blau;#0000AA;6;Braun;#AA5500;Blau auf Braun
98;2;Gruen;#00AA00;6;Braun;#AA5500;Gruen auf Braun
99;3;Cyan;#00AAAA;6;Braun;#AA5500;Cyan auf Braun
100;4;Rot;#AA0000;6;Braun;#AA5500;Rot auf Braun
101;5;Magenta;#AA00AA;6;Braun;#AA5500;Magenta auf Braun
102;6;Braun;#AA5500;6;Braun;#AA5500;Braun auf Braun
103;7;Hellgrau;#AAAAAA;6;Braun;#AA5500;Hellgrau auf Braun
104;8;Dunkelgrau;#555555;6;Braun;#AA5500;Dunkelgrau auf Braun
105;9;Hellblau;#5555FF;6;Braun;#AA5500;Hellblau auf Braun
106;10;Hellgruen;#55FF55;6;Braun;#AA5500;Hellgruen auf Braun
107;11;Hellcyan;#55FFFF;6;Braun;#AA5500;Hellcyan auf Braun
108;12;Hellrot;#FF5555;6;Braun;#AA5500;Hellrot auf Braun
109;13;Hellmagenta;#FF55FF;6;Braun;#AA5500;Hellmagenta auf Braun
110;14;Gelb;#FFFF55;6;Braun;#AA5500;Gelb auf Braun
111;15;Weiss;#FFFFFF;6;Braun;#AA5500;Weiss auf Braun
112;0;Schwarz;#000000;7;Hellgrau;#AAAAAA;Schwarz auf Hellgrau
113;1;Blau;#0000AA;7;Hellgrau;#AAAAAA;Blau auf Hellgrau
114;2;Gruen;#00AA00;7;Hellgrau;#AAAAAA;Gruen auf Hellgrau
115;3;Cyan;#00AAAA;7;Hellgrau;#AAAAAA;Cyan auf Hellgrau
116;4;Rot;#AA0000;7;Hellgrau;#AAAAAA;Rot auf Hellgrau
117;5;Magenta;#AA00AA;7;Hellgrau;#AAAAAA;Magenta auf Hellgrau
118;6;Braun;#AA5500;7;Hellgrau;#AAAAAA;Braun auf Hellgrau
119;7;Hellgrau;#AAAAAA;7;Hellgrau;#AAAAAA;Hellgrau auf Hellgrau
120;8;Dunkelgrau;#555555;7;Hellgrau;#AAAAAA;Dunkelgrau auf Hellgrau
121;9;Hellblau;#5555FF;7;Hellgrau;#AAAAAA;Hellblau auf Hellgrau
122;10;Hellgruen;#55FF55;7;Hellgrau;#AAAAAA;Hellgruen auf Hellgrau
123;11;Hellcyan;#55FFFF;7;Hellgrau;#AAAAAA;Hellcyan auf Hellgrau
124;12;Hellrot;#FF5555;7;Hellgrau;#AAAAAA;Hellrot auf Hellgrau
125;13;Hellmagenta;#FF55FF;7;Hellgrau;#AAAAAA;Hellmagenta auf Hellgrau
126;14;Gelb;#FFFF55;7;Hellgrau;#AAAAAA;Gelb auf Hellgrau
127;15;Weiss;#FFFFFF;7;Hellgrau;#AAAAAA;Weiss auf Hellgrau
128;0;Schwarz;#000000;8;Dunkelgrau;#555555;Schwarz auf Dunkelgrau
129;1;Blau;#0000AA;8;Dunkelgrau;#555555;Blau auf Dunkelgrau
130;2;Gruen;#00AA00;8;Dunkelgrau;#555555;Gruen auf Dunkelgrau
131;3;Cyan;#00AAAA;8;Dunkelgrau;#555555;Cyan auf Dunkelgrau
132;4;Rot;#AA0000;8;Dunkelgrau;#555555;Rot auf Dunkelgrau
133;5;Magenta;#AA00AA;8;Dunkelgrau;#555555;Magenta auf Dunkelgrau
134;6;Braun;#AA5500;8;Dunkelgrau;#555555;Braun auf Dunkelgrau
135;7;Hellgrau;#AAAAAA;8;Dunkelgrau;#555555;Hellgrau auf Dunkelgrau
136;8;Dunkelgrau;#555555;8;Dunkelgrau;#555555;Dunkelgrau auf Dunkelgrau
137;9;Hellblau;#5555FF;8;Dunkelgrau;#555555;Hellblau auf Dunkelgrau
138;10;Hellgruen;#55FF55;8;Dunkelgrau;#555555;Hellgruen auf Dunkelgrau
139;11;Hellcyan;#55FFFF;8;Dunkelgrau;#555555;Hellcyan auf Dunkelgrau
140;12;Hellrot;#FF5555;8;Dunkelgrau;#555555;Hellrot auf Dunkelgrau
141;13;Hellmagenta;#FF55FF;8;Dunkelgrau;#555555;Hellmagenta auf Dunkelgrau
142;14;Gelb;#FFFF55;8;Dunkelgrau;#555555;Gelb auf Dunkelgrau
143;15;Weiss;#FFFFFF;8;Dunkelgrau;#555555;Weiss auf Dunkelgrau
144;0;Schwarz;#000000;9;Hellblau;#5555FF;Schwarz auf Hellblau
145;1;Blau;#0000AA;9;Hellblau;#5555FF;Blau auf Hellblau
146;2;Gruen;#00AA00;9;Hellblau;#5555FF;Gruen auf Hellblau
147;3;Cyan;#00AAAA;9;Hellblau;#5555FF;Cyan auf Hellblau
148;4;Rot;#AA0000;9;Hellblau;#5555FF;Rot auf Hellblau
149;5;Magenta;#AA00AA;9;Hellblau;#5555FF;Magenta auf Hellblau
150;6;Braun;#AA5500;9;Hellblau;#5555FF;Braun auf Hellblau
151;7;Hellgrau;#AAAAAA;9;Hellblau;#5555FF;Hellgrau auf Hellblau
152;8;Dunkelgrau;#555555;9;Hellblau;#5555FF;Dunkelgrau auf Hellblau
153;9;Hellblau;#5555FF;9;Hellblau;#5555FF;Hellblau auf Hellblau
154;10;Hellgruen;#55FF55;9;Hellblau;#5555FF;Hellgruen auf Hellblau
155;11;Hellcyan;#55FFFF;9;Hellblau;#5555FF;Hellcyan auf Hellblau
156;12;Hellrot;#FF5555;9;Hellblau;#5555FF;Hellrot auf Hellblau
157;13;Hellmagenta;#FF55FF;9;Hellblau;#5555FF;Hellmagenta auf Hellblau
158;14;Gelb;#FFFF55;9;Hellblau;#5555FF;Gelb auf Hellblau
159;15;Weiss;#FFFFFF;9;Hellblau;#5555FF;Weiss auf Hellblau
160;0;Schwarz;#000000;10;Hellgruen;#55FF55;Schwarz auf Hellgruen
161;1;Blau;#0000AA;10;Hellgruen;#55FF55;Blau auf Hellgruen
162;2;Gruen;#00AA00;10;Hellgruen;#55FF55;Gruen auf Hellgruen
163;3;Cyan;#00AAAA;10;Hellgruen;#55FF55;Cyan auf Hellgruen
164;4;Rot;#AA0000;10;Hellgruen;#55FF55;Rot auf Hellgruen
165;5;Magenta;#AA00AA;10;Hellgruen;#55FF55;Magenta auf Hellgruen
166;6;Braun;#AA5500;10;Hellgruen;#55FF55;Braun auf Hellgruen
